state,year,quarter,transaction_type,transaction_count,transaction_amount
jammu-&-kashmir,2021,1,Others,98042,47124854.989329115
jammu-&-kashmir,2021,4,Peer-to-peer payments,6852001,31444247707.630074
jammu-&-kashmir,2021,4,Merchant payments,5399465,6026170895.591109
jammu-&-kashmir,2021,4,Recharge & bill payments,4358892,1334473410.4377313
jammu-&-kashmir,2021,4,Financial Services,20269,34425387.51761782
jammu-&-kashmir,2021,4,Others,160001,86920024.59513804
jammu-&-kashmir,2023,2,Merchant payments,27968919,16519042612.0
jammu-&-kashmir,2023,2,Peer-to-peer payments,17988275,56687068768.0
jammu-&-kashmir,2023,2,Recharge & bill payments,8374394,3181150839.0
jammu-&-kashmir,2023,2,Financial Services,27724,36616737.0
jammu-&-kashmir,2023,2,Others,228987,106126424.0
jammu-&-kashmir,2023,3,Merchant payments,33831979,20030764520.0
jammu-&-kashmir,2023,3,Peer-to-peer payments,20589029,62320529579.0
jammu-&-kashmir,2023,3,Recharge & bill payments,9247909,3508619105.0
jammu-&-kashmir,2023,3,Financial Services,31473,61895606.0
jammu-&-kashmir,2023,3,Others,203189,94339616.0
jammu-&-kashmir,2023,1,Merchant payments,19258641,12262102502.0
jammu-&-kashmir,2023,1,Peer-to-peer payments,12527159,41006666634.0
jammu-&-kashmir,2023,1,Recharge & bill payments,6894943,2522356131.0
jammu-&-kashmir,2023,1,Financial Services,26119,30772190.0
jammu-&-kashmir,2023,1,Others,220382,99850124.0
jammu-&-kashmir,2023,4,Merchant payments,38724913,23286334977.0
jammu-&-kashmir,2023,4,Peer-to-peer payments,20930306,65658312220.0
jammu-&-kashmir,2023,4,Recharge & bill payments,9268356,3954471487.0
jammu-&-kashmir,2023,4,Financial Services,36281,80127905.0
jammu-&-kashmir,2023,4,Others,207276,90895171.0
jammu-&-kashmir,2024,2,Merchant payments,67028884,36427331951.0
jammu-&-kashmir,2024,2,Peer-to-peer payments,30553524,87708294314.0
jammu-&-kashmir,2024,2,Recharge & bill payments,10377382,4725535622.0
jammu-&-kashmir,2024,2,Financial Services,51851,118499860.0
jammu-&-kashmir,2024,2,Others,167373,82095164.0
jammu-&-kashmir,2024,3,Merchant payments,72762518,40065179721.0
jammu-&-kashmir,2024,3,Peer-to-peer payments,35411991,98957280136.0
jammu-&-kashmir,2024,3,Recharge & bill payments,11191575,5221833445.0
jammu-&-kashmir,2024,3,Financial Services,62311,146900251.0
jammu-&-kashmir,2024,3,Others,126893,79152424.0
jammu-&-kashmir,2024,1,Merchant payments,44039688,26132817115.0
jammu-&-kashmir,2024,1,Peer-to-peer payments,21676857,63494530507.0
jammu-&-kashmir,2024,1,Recharge & bill payments,9191925,4183099352.0
jammu-&-kashmir,2024,1,Financial Services,36970,77808277.0
jammu-&-kashmir,2024,1,Others,170915,72673690.0
jammu-&-kashmir,2024,4,Merchant payments,77746893,45801663532.0
jammu-&-kashmir,2024,4,Peer-to-peer payments,37314662,109794685213.0
jammu-&-kashmir,2024,4,Recharge & bill payments,10916802,5152602988.0
jammu-&-kashmir,2024,4,Financial Services,180612,129044033.0
jammu-&-kashmir,2024,4,Others,102248,72984966.0
lakshadweep,2022,2,Peer-to-peer payments,8491,48451728.04746901
lakshadweep,2022,2,Recharge & bill payments,5366,2386144.714677198
lakshadweep,2022,2,Merchant payments,3602,4895657.060086848
lakshadweep,2022,2,Financial Services,59,87127.8249489804
lakshadweep,2022,2,Others,51,108944.34272364664
lakshadweep,2022,3,Peer-to-peer payments,7533,40029003.82575238
lakshadweep,2022,3,Recharge & bill payments,4441,1936538.3067545425
lakshadweep,2022,3,Merchant payments,3142,5469200.646094429
lakshadweep,2022,3,Financial Services,64,63629.88416689246
lakshadweep,2022,3,Others,61,81636.9547320153
lakshadweep,2022,1,Peer-to-peer payments,7913,48590864.56835763
lakshadweep,2022,1,Recharge & bill payments,5334,2322580.1695599537
lakshadweep,2022,1,Merchant payments,3048,3838358.3586293925
lakshadweep,2022,1,Financial Services,39,38274.22628876488
lakshadweep,2022,1,Others,63,149355.3310943247
lakshadweep,2022,4,Peer-to-peer payments,8686,47450386.0033243
lakshadweep,2022,4,Recharge & bill payments,4557,2024739.1542023947
lakshadweep,2022,4,Merchant payments,3819,5250991.002376802
lakshadweep,2022,4,Financial Services,35,26453.0247779254
lakshadweep,2022,4,Others,50,61304.43025482374
lakshadweep,2020,2,Recharge & bill payments,4497,1061694.138574572
lakshadweep,2020,2,Peer-to-peer payments,2176,14718605.188911092
lakshadweep,2020,2,Merchant payments,472,971609.4583537823
lakshadweep,2020,2,Financial Services,60,158593.59701229632
lakshadweep,2020,2,Others,15,32419.703092655054
lakshadweep,2020,3,Recharge & bill payments,4696,1186947.553816269
lakshadweep,2020,3,Peer-to-peer payments,2946,19189391.618742835
lakshadweep,2020,3,Merchant payments,903,842981.169451366
lakshadweep,2020,3,Financial Services,27,45457.50970027798
lakshadweep,2020,3,Others,17,42055.45694608544
lakshadweep,2020,1,Recharge & bill payments,2684,789255.2646123999
lakshadweep,2020,1,Peer-to-peer payments,2068,12463327.261836832
lakshadweep,2020,1,Merchant payments,387,216594.03077193064
lakshadweep,2020,1,Others,12,33192.017283045374
lakshadweep,2020,4,Recharge & bill payments,5187,1499298.1127799235
lakshadweep,2020,4,Peer-to-peer payments,4741,27284123.245665
lakshadweep,2020,4,Merchant payments,1668,1227101.6378793938
lakshadweep,2020,4,Financial Services,22,13968.7539965527
lakshadweep,2020,4,Others,32,86826.16675951776
lakshadweep,2021,2,Recharge & bill payments,5499,1745295.828077295
lakshadweep,2021,2,Peer-to-peer payments,4069,23996417.49366483
lakshadweep,2021,2,Merchant payments,1743,1525331.9146529401
lakshadweep,2021,2,Financial Services,29,15052.018496008179
lakshadweep,2021,2,Others,44,101366.40306045809
lakshadweep,2021,3,Peer-to-peer payments,5687,34142107.520169854
lakshadweep,2021,3,Recharge & bill payments,5153,1700287.4734963956
lakshadweep,2021,3,Merchant payments,2450,2750367.063028222
lakshadweep,2021,3,Financial Services,48,137227.35390598275
lakshadweep,2021,3,Others,32,73174.28816768769
lakshadweep,2021,1,Peer-to-peer payments,3942,24823715.017422147
lakshadweep,2021,1,Recharge & bill payments,3541,1070209.4218526704
lakshadweep,2021,1,Merchant payments,1537,1040213.7953898906
lakshadweep,2021,1,Financial Services,19,15929.095105497145
lakshadweep,2021,1,Others,46,92715.5843109472
lakshadweep,2021,4,Peer-to-peer payments,7154,44696668.86120765
lakshadweep,2021,4,Recharge & bill payments,5355,2093901.2918026838
lakshadweep,2021,4,Merchant payments,2872,4071239.087436496
lakshadweep,2021,4,Financial Services,27,19994.541946360278
lakshadweep,2021,4,Others,62,116381.74598782149
lakshadweep,2023,2,Peer-to-peer payments,16924,80630344.0
lakshadweep,2023,2,Merchant payments,9524,12585603.0
lakshadweep,2023,2,Recharge & bill payments,8287,4632264.0
lakshadweep,2023,2,Financial Services,105,52460.0
lakshadweep,2023,2,Others,78,86767.0
lakshadweep,2023,3,Peer-to-peer payments,20220,77301147.0
lakshadweep,2023,3,Merchant payments,14902,12027729.0
lakshadweep,2023,3,Recharge & bill payments,8577,5093309.0
lakshadweep,2023,3,Financial Services,16,12540.0
lakshadweep,2023,3,Others,42,92336.0
lakshadweep,2023,1,Peer-to-peer payments,14918,73202195.0
lakshadweep,2023,1,Recharge & bill payments,8287,3929048.0
lakshadweep,2023,1,Merchant payments,6123,7988014.0
lakshadweep,2023,1,Financial Services,153,160430.0
lakshadweep,2023,1,Others,39,42274.0
lakshadweep,2023,4,Merchant payments,27931,20455699.0
lakshadweep,2023,4,Peer-to-peer payments,25886,93623472.0
lakshadweep,2023,4,Recharge & bill payments,9527,5537222.0
lakshadweep,2023,4,Financial Services,79,102991.0
lakshadweep,2023,4,Others,56,111999.0
lakshadweep,2024,2,Merchant payments,68346,33965752.0
lakshadweep,2024,2,Peer-to-peer payments,30929,105941312.0
lakshadweep,2024,2,Recharge & bill payments,9704,6200429.0
lakshadweep,2024,2,Financial Services,59,46549.0
lakshadweep,2024,2,Others,47,58799.0
lakshadweep,2024,3,Merchant payments,100441,45937079.0
lakshadweep,2024,3,Peer-to-peer payments,44556,138863144.0
lakshadweep,2024,3,Recharge & bill payments,12305,7418004.0
lakshadweep,2024,3,Financial Services,130,159127.0
lakshadweep,2024,3,Others,46,30733.0
lakshadweep,2024,1,Merchant payments,42704,26729830.0
lakshadweep,2024,1,Peer-to-peer payments,28805,96802351.0
lakshadweep,2024,1,Recharge & bill payments,9584,6450723.0
lakshadweep,2024,1,Financial Services,36,19372.0
lakshadweep,2024,1,Others,47,50105.0
lakshadweep,2024,4,Merchant payments,129497,57962618.0
lakshadweep,2024,4,Peer-to-peer payments,54568,181385170.0
lakshadweep,2024,4,Recharge & bill payments,13089,7577602.0
lakshadweep,2024,4,Financial Services,603,819138.0
lakshadweep,2024,4,Others,20,12153.0
chhattisgarh,2022,2,Merchant payments,61093916,41536371583.74904
chhattisgarh,2022,2,Peer-to-peer payments,42532112,133534947239.2497
chhattisgarh,2022,2,Recharge & bill payments,12737942,5949415519.837789
chhattisgarh,2022,2,Financial Services,41530,46037703.16128763
chhattisgarh,2022,2,Others,178548,114905117.7834119
chhattisgarh,2022,3,Merchant payments,84355775,50874051122.3736
chhattisgarh,2022,3,Peer-to-peer payments,57116149,161027214428.20593
chhattisgarh,2022,3,Recharge & bill payments,16538894,8069941553.075293
chhattisgarh,2022,3,Financial Services,55775,61881709.73674865
chhattisgarh,2022,3,Others,185994,128469268.59740639
chhattisgarh,2022,1,Merchant payments,48236094,33822547183.04485
chhattisgarh,2022,1,Peer-to-peer payments,37457039,118393860520.57216
chhattisgarh,2022,1,Recharge & bill payments,11466264,5442872986.10511
chhattisgarh,2022,1,Financial Services,52918,55991695.312008664
chhattisgarh,2022,1,Others,200977,131773069.80038045
chhattisgarh,2022,4,Merchant payments,97405954,60247141797.94961
chhattisgarh,2022,4,Peer-to-peer payments,63986789,183672880692.7266
chhattisgarh,2022,4,Recharge & bill payments,16324117,8376603987.152398
chhattisgarh,2022,4,Financial Services,63695,81169069.23462963
chhattisgarh,2022,4,Others,179891,141385263.4082809
chhattisgarh,2020,2,Recharge & bill payments,8366200,2504355746.828547
chhattisgarh,2020,2,Peer-to-peer payments,7216219,27351810047.608715
chhattisgarh,2020,2,Merchant payments,3158417,2361252112.419633
chhattisgarh,2020,2,Financial Services,19986,17814454.60563486
chhattisgarh,2020,2,Others,60103,33149845.438824516
chhattisgarh,2020,3,Peer-to-peer payments,9734445,34661165923.13037
chhattisgarh,2020,3,Recharge & bill payments,8705513,2790720003.1373434
chhattisgarh,2020,3,Merchant payments,5591916,3990179454.1880045
chhattisgarh,2020,3,Financial Services,34893,39141096.45070238
chhattisgarh,2020,3,Others,81772,45538330.62766186
chhattisgarh,2020,1,Peer-to-peer payments,8109789,28723854868.846924
chhattisgarh,2020,1,Recharge & bill payments,6400067,1688995018.2209015
chhattisgarh,2020,1,Merchant payments,4923214,2393811867.3887434
chhattisgarh,2020,1,Financial Services,12424,7378557.223060286
chhattisgarh,2020,1,Others,78497,46557359.6766012
chhattisgarh,2020,4,Peer-to-peer payments,14257312,50812302052.952705
chhattisgarh,2020,4,Merchant payments,11677743,8238390462.202984
chhattisgarh,2020,4,Recharge & bill payments,9423324,3033918783.208999
chhattisgarh,2020,4,Financial Services,41308,48082346.06124696
chhattisgarh,2020,4,Others,129949,82280639.52262866
chhattisgarh,2021,2,Peer-to-peer payments,18387345,62134058797.4359
chhattisgarh,2021,2,Merchant payments,15369311,12828590761.713423
chhattisgarh,2021,2,Recharge & bill payments,10764784,3640692364.165052
chhattisgarh,2021,2,Financial Services,40213,39620256.36433959
chhattisgarh,2021,2,Others,127767,85809079.54731184
chhattisgarh,2021,3,Merchant payments,27552743,19905616746.805294
chhattisgarh,2021,3,Peer-to-peer payments,25447410,80506858751.32883
chhattisgarh,2021,3,Recharge & bill payments,11039088,4045490947.2382197
chhattisgarh,2021,3,Financial Services,38817,48855662.40142638
chhattisgarh,2021,3,Others,159880,99286155.00295877
chhattisgarh,2021,1,Peer-to-peer payments,15621154,55638916992.13896
chhattisgarh,2021,1,Merchant payments,15222763,10661449529.109669
chhattisgarh,2021,1,Recharge & bill payments,8456094,3000977538.840563
chhattisgarh,2021,1,Financial Services,37395,40387648.84021996
chhattisgarh,2021,1,Others,99031,68111552.62215017
chhattisgarh,2021,4,Merchant payments,40526025,29283695601.229546
chhattisgarh,2021,4,Peer-to-peer payments,32799167,102177997315.68285
chhattisgarh,2021,4,Recharge & bill payments,11115444,4724827139.9519415
chhattisgarh,2021,4,Financial Services,55237,66445873.296120845
chhattisgarh,2021,4,Others,221621,146144588.65236923
chhattisgarh,2023,2,Merchant payments,138222517,78172761996.0
chhattisgarh,2023,2,Peer-to-peer payments,86887081,243032806463.0
chhattisgarh,2023,2,Recharge & bill payments,24550623,11714283831.0
chhattisgarh,2023,2,Financial Services,77813,90235297.0
chhattisgarh,2023,2,Others,193602,146759167.0
chhattisgarh,2023,3,Merchant payments,161142673,85645642195.0
chhattisgarh,2023,3,Peer-to-peer payments,97060888,251466237009.0
chhattisgarh,2023,3,Recharge & bill payments,25011103,13000613447.0
chhattisgarh,2023,3,Financial Services,95807,131864372.0
chhattisgarh,2023,3,Others,182186,135322503.0
chhattisgarh,2023,1,Merchant payments,115821237,68619935279.0
chhattisgarh,2023,1,Peer-to-peer payments,76752033,221082684005.0
chhattisgarh,2023,1,Recharge & bill payments,21896029,11162940453.0
chhattisgarh,2023,1,Financial Services,72038,65398770.0
chhattisgarh,2023,1,Others,207620,157977952.0
chhattisgarh,2023,4,Merchant payments,185440451,102326470529.0
chhattisgarh,2023,4,Peer-to-peer payments,110795079,287452814383.0
chhattisgarh,2023,4,Recharge & bill payments,25330600,13898322691.0
chhattisgarh,2023,4,Financial Services,115404,174278673.0
chhattisgarh,2023,4,Others,194798,133148269.0
chhattisgarh,2024,2,Merchant payments,245595547,132662738857.0
chhattisgarh,2024,2,Peer-to-peer payments,134658010,346912119555.0
chhattisgarh,2024,2,Recharge & bill payments,31469605,16306210818.0
chhattisgarh,2024,2,Financial Services,148570,297328748.0
chhattisgarh,2024,2,Others,175973,135034441.0
chhattisgarh,2024,3,Merchant payments,267508081,136419004302.0
chhattisgarh,2024,3,Peer-to-peer payments,146302685,342236114715.0
chhattisgarh,2024,3,Recharge & bill payments,29502494,18226578889.0
chhattisgarh,2024,3,Financial Services,179562,354020024.0
chhattisgarh,2024,3,Others,147280,124415828.0
chhattisgarh,2024,1,Merchant payments,212194065,116463019844.0
chhattisgarh,2024,1,Peer-to-peer payments,124567252,329976785438.0
chhattisgarh,2024,1,Recharge & bill payments,29121761,16237500799.0
chhattisgarh,2024,1,Financial Services,117960,205227725.0
chhattisgarh,2024,1,Others,175646,127276095.0
chhattisgarh,2024,4,Merchant payments,304445323,159212481149.0
chhattisgarh,2024,4,Peer-to-peer payments,166465519,398345139636.0
chhattisgarh,2024,4,Recharge & bill payments,29120062,18801380994.0
chhattisgarh,2024,4,Financial Services,477311,324186192.0
chhattisgarh,2024,4,Others,147189,145256654.0
sikkim,2022,2,Peer-to-peer payments,1198014,4596501308.195931
sikkim,2022,2,Merchant payments,706658,847497607.0893551
sikkim,2022,2,Recharge & bill payments,411189,162174479.6973383
sikkim,2022,2,Financial Services,1758,1861284.7969863976
sikkim,2022,2,Others,4462,3070990.527526753
sikkim,2022,3,Peer-to-peer payments,1222037,4173703593.656705
sikkim,2022,3,Merchant payments,772650,830361400.9603965
sikkim,2022,3,Recharge & bill payments,397207,153567926.32171312
sikkim,2022,3,Financial Services,1538,2851319.5479129553
sikkim,2022,3,Others,3326,2396303.4047308513
sikkim,2022,1,Peer-to-peer payments,916940,3650961081.00263
sikkim,2022,1,Merchant payments,449273,570784579.6670712
sikkim,2022,1,Recharge & bill payments,371579,139135962.10369253
sikkim,2022,1,Financial Services,2124,3062332.163804472
sikkim,2022,1,Others,4386,3487320.9262269526
sikkim,2022,4,Peer-to-peer payments,1548662,5175155338.821596
sikkim,2022,4,Merchant payments,1033541,1096220774.255463
sikkim,2022,4,Recharge & bill payments,470639,181281682.32208142
sikkim,2022,4,Financial Services,2049,2701971.788609252
sikkim,2022,4,Others,3448,3025622.2320622765
sikkim,2020,2,Recharge & bill payments,297620,78397187.10935993
sikkim,2020,2,Peer-to-peer payments,186495,939900165.9422412
sikkim,2020,2,Merchant payments,31442,34385184.65717751
sikkim,2020,2,Financial Services,883,999656.0722047673
sikkim,2020,2,Others,1291,936594.480283038
sikkim,2020,3,Recharge & bill payments,298885,83894642.6709112
sikkim,2020,3,Peer-to-peer payments,245087,1255521152.966514
sikkim,2020,3,Merchant payments,49299,58337178.67223759
sikkim,2020,3,Financial Services,1252,1795366.733436462
sikkim,2020,3,Others,1912,1378387.6172995246
sikkim,2020,1,Peer-to-peer payments,230413,954765350.1856782
sikkim,2020,1,Recharge & bill payments,215586,53588505.838823974
sikkim,2020,1,Merchant payments,79881,43201695.38937264
sikkim,2020,1,Financial Services,345,175569.53933206247
sikkim,2020,1,Others,1893,1745150.991195219
sikkim,2020,4,Peer-to-peer payments,334069,1711730126.584541
sikkim,2020,4,Recharge & bill payments,301382,90168624.05415541
sikkim,2020,4,Merchant payments,95503,112478003.86391157
sikkim,2020,4,Financial Services,1427,2361187.592392395
sikkim,2020,4,Others,2654,2537863.027923054
sikkim,2021,2,Peer-to-peer payments,473141,2125758496.616091
sikkim,2021,2,Recharge & bill payments,345495,103846501.52404109
sikkim,2021,2,Merchant payments,153671,190473176.21848944
sikkim,2021,2,Financial Services,1865,2851874.287465013
sikkim,2021,2,Others,2542,1969531.0292125773
sikkim,2021,3,Peer-to-peer payments,595826,2582075089.383399
sikkim,2021,3,Recharge & bill payments,346173,111613776.75942023
sikkim,2021,3,Merchant payments,213808,290732930.46291006
sikkim,2021,3,Financial Services,1689,2624558.3857180667
sikkim,2021,3,Others,3098,2290508.8169457563
sikkim,2021,1,Peer-to-peer payments,403703,1965492629.578867
sikkim,2021,1,Recharge & bill payments,279679,93174110.112334
sikkim,2021,1,Merchant payments,112925,154183320.1372872
sikkim,2021,1,Financial Services,1844,3027799.2784099854
sikkim,2021,1,Others,2038,1789867.7338266163
sikkim,2021,4,Peer-to-peer payments,831597,3548508409.656125
sikkim,2021,4,Recharge & bill payments,376078,136473754.40071422
sikkim,2021,4,Merchant payments,369343,504586163.5569785
sikkim,2021,4,Financial Services,2269,3162023.7210206646
sikkim,2021,4,Others,5058,4052910.300969372
sikkim,2023,2,Peer-to-peer payments,2196285,6799375282.0
sikkim,2023,2,Merchant payments,1616549,1523202088.0
sikkim,2023,2,Recharge & bill payments,594826,251468530.0
sikkim,2023,2,Financial Services,2790,3457083.0
sikkim,2023,2,Others,2517,2847453.0
sikkim,2023,3,Peer-to-peer payments,2187102,6245427022.0
sikkim,2023,3,Merchant payments,2011690,1619166618.0
sikkim,2023,3,Recharge & bill payments,600784,233423001.0
sikkim,2023,3,Financial Services,3289,7262131.0
sikkim,2023,3,Others,2072,1958649.0
sikkim,2023,1,Peer-to-peer payments,1779090,5451626602.0
sikkim,2023,1,Merchant payments,1067585,1091745064.0
sikkim,2023,1,Recharge & bill payments,543957,213517668.0
sikkim,2023,1,Financial Services,2603,2801184.0
sikkim,2023,1,Others,2893,2877504.0
sikkim,2023,4,Peer-to-peer payments,2165502,6467541154.0
sikkim,2023,4,Merchant payments,2124031,1877772225.0
sikkim,2023,4,Recharge & bill payments,562618,235242389.0
sikkim,2023,4,Financial Services,3357,7657246.0
sikkim,2023,4,Others,1816,2395457.0
sikkim,2024,2,Merchant payments,3610564,2756669498.0
sikkim,2024,2,Peer-to-peer payments,2927640,8213879109.0
sikkim,2024,2,Recharge & bill payments,642240,310411870.0
sikkim,2024,2,Financial Services,5988,12875123.0
sikkim,2024,2,Others,1890,2682555.0
sikkim,2024,3,Merchant payments,3967262,2720586221.0
sikkim,2024,3,Peer-to-peer payments,3060298,7537324304.0
sikkim,2024,3,Recharge & bill payments,677635,293314207.0
sikkim,2024,3,Financial Services,6715,15986708.0
sikkim,2024,3,Others,1871,2617632.0
sikkim,2024,1,Merchant payments,2707037,2172007531.0
sikkim,2024,1,Peer-to-peer payments,2501457,6989057055.0
sikkim,2024,1,Recharge & bill payments,605942,278107861.0
sikkim,2024,1,Financial Services,3962,14632590.0
sikkim,2024,1,Others,1748,1916486.0
sikkim,2024,4,Merchant payments,4746814,3358031205.0
sikkim,2024,4,Peer-to-peer payments,3464526,8951460155.0
sikkim,2024,4,Recharge & bill payments,682763,312543062.0
sikkim,2024,4,Financial Services,20851,15322191.0
sikkim,2024,4,Others,1916,3744785.0
telangana,2022,2,Merchant payments,565370506,307468406704.909
telangana,2022,2,Peer-to-peer payments,422056582,1580014085694.835
telangana,2022,2,Recharge & bill payments,75099130,63136761649.3931
telangana,2022,2,Financial Services,245023,324857780.5553103
telangana,2022,2,Others,611316,470432687.3850265
telangana,2022,3,Merchant payments,880414292,447150646953.73706
telangana,2022,3,Peer-to-peer payments,626830752,2170173323588.53
telangana,2022,3,Recharge & bill payments,119779835,87937210666.27194
telangana,2022,3,Financial Services,340458,442783619.09123904
telangana,2022,3,Others,800064,621900924.4423015
telangana,2022,1,Merchant payments,449186799,243841863780.6793
telangana,2022,1,Peer-to-peer payments,368048408,1375289566667.7056
telangana,2022,1,Recharge & bill payments,66352138,50470450179.88254
telangana,2022,1,Financial Services,284035,394283511.9410973
telangana,2022,1,Others,2582005,642005688.7661512
telangana,2022,4,Merchant payments,1002521735,491556008133.53546
telangana,2022,4,Peer-to-peer payments,694612831,2393380395296.8516
telangana,2022,4,Recharge & bill payments,121188131,92136759501.42021
telangana,2022,4,Financial Services,401838,498719426.0054372
telangana,2022,4,Others,782297,680680558.3343163
telangana,2020,2,Peer-to-peer payments,76683293,279478553909.7438
telangana,2020,2,Merchant payments,44181999,26712043204.891262
telangana,2020,2,Recharge & bill payments,30885875,15106945863.857046
telangana,2020,2,Financial Services,116776,134169906.74750492
telangana,2020,2,Others,187200,100126467.191328
telangana,2020,3,Peer-to-peer payments,116668399,437459188905.0534
telangana,2020,3,Merchant payments,86836471,49743225885.179474
telangana,2020,3,Recharge & bill payments,32352860,18378477087.576897
telangana,2020,3,Financial Services,195857,223377023.50525153
telangana,2020,3,Others,318539,156875854.55487928
telangana,2020,1,Peer-to-peer payments,95668911,327641798044.80554
telangana,2020,1,Merchant payments,76818285,31076431477.91269
telangana,2020,1,Recharge & bill payments,26324268,12324266104.564993
telangana,2020,1,Financial Services,88184,59500639.38684589
telangana,2020,1,Others,509877,241784101.54604858
telangana,2020,4,Peer-to-peer payments,160607487,591976601278.5154
telangana,2020,4,Merchant payments,143897953,81725950703.21272
telangana,2020,4,Recharge & bill payments,38174710,22006183348.80398
telangana,2020,4,Financial Services,230134,275357720.01805824
telangana,2020,4,Others,733503,366346176.40682477
telangana,2021,2,Peer-to-peer payments,230861833,872151973637.885
telangana,2021,2,Merchant payments,205232899,123207789311.2962
telangana,2021,2,Recharge & bill payments,58637866,31877277168.343227
telangana,2021,2,Financial Services,278546,300569264.1443888
telangana,2021,2,Others,856400,420723415.91505665
telangana,2021,3,Merchant payments,286735350,159227310549.39368
telangana,2021,3,Peer-to-peer payments,271436926,981754679241.0405
telangana,2021,3,Recharge & bill payments,62744121,36434881136.01624
telangana,2021,3,Financial Services,235519,329138539.4612142
telangana,2021,3,Others,1734852,543116826.3422191
telangana,2021,1,Merchant payments,185230619,95927278280.53006
telangana,2021,1,Peer-to-peer payments,179738195,676276353116.8419
telangana,2021,1,Recharge & bill payments,46371555,26447601338.53346
telangana,2021,1,Financial Services,262473,320153410.17969453
telangana,2021,1,Others,969268,387877900.5044867
telangana,2021,4,Merchant payments,376584215,212974766412.01556
telangana,2021,4,Peer-to-peer payments,331774591,1204991223519.016
telangana,2021,4,Recharge & bill payments,66477036,44760398983.30789
telangana,2021,4,Financial Services,298871,392141743.6705663
